time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Plot,Shapes,RSI,MF
1542240000,5917.2,5939.54,5403.42,5753.4,6231.794013758603,6388.1686769249145,6497.161799999999,6986.870400000007,47700.829401,13886.55824914999,-54.87238571428446,0,21.70171800131294,-0.002010319631500022
1542326400,5757.09,5782.89,5549.25,5655.94,6116.623211006882,6333.929515671217,6476.498,6968.920050000007,38721.802274,15433.80296964999,-125.92007857142741,0,19.977871530821062,-0.009993038183550153
1542412800,5650.57,5656.6,5565.43,5628.29,6018.956568805505,6281.659921917793,6456.3722,6951.704100000007,26411.241413,16467.16835389999,-195.23557857142737,0,19.50451003867461,0.017406300243103055
1542499200,5630.49,5738.17,5617,5662,5947.565255044405,6235.75918696092,6437.684599999999,6933.774900000008,23844.999347,16968.05711789999,-264.9798035714275,0,21.93312575031723,0.02691071176818172
1542585600,5661.94,5664,4855,4910.03,5740.058204035524,6137.557024963814,6403.353799999999,6909.575050000007,70580.892856,20053.242991449988,-441.71576428571336,0,12.71638507435648,-0.11500469386324312
1542672000,4913.4,5048.24,4326,4558.86,5503.818563228419,6020.616504596124,6362.2988000000005,6883.799400000006,117380.95159,25314.84616014999,-637.580382142856,0,10.497797370334737,-0.18273517586098736
1542758400,4559.91,4787.2,4413.85,4661.07,5335.2688505827355,5919.909356107522,6325.0044,6857.784750000005,61071.829475,27913.485841849993,-791.3047714285703,0,15.138505662172847,-0.13521786661226118
1542844800,4661.08,4721.77,4335,4370,5142.215080466189,5805.101255655113,6282.2044,6831.339700000007,34531.119143,29153.069765049993,-976.6546071428561,0,13.061522025936554,-0.18247023817436334
1542931200,4370.9,4484,4222.94,4420.61,4997.894064372951,5702.546347828808,6238.740799999999,6806.617750000006,49371.920322,31238.603707349994,-1129.0690428571415,0,15.239077935946767,-0.12824798126271242
1543017600,4415.63,4527,3824.69,3932.44,4784.803251498361,5571.427359100749,6184.676599999999,6780.342150000006,61693.111006,33793.63951049999,-1299.8062357142846,0,12.092762631161605,-0.19010200959607082
1543104000,3933.68,4233,3652.66,4085.78,4644.998601198688,5461.379406574767,6134.506799999998,6754.221050000006,101693.975588,38428.94418209999,-1400.8714178571413,0,17.831519975583333,-0.1023978878054592
1543190400,4088.69,4206,3701,3862.2,4488.438880958951,5342.9216727544135,6079.445599999998,6728.521050000006,94503.750767,42557.80343549999,-1507.7734928571415,0,16.173605055751892,-0.14265276919687128
